adf_stat,adf_pvalue,half_life,std,pair,method,gamma_vol,gamma_min,gamma_max
-4.071027796122043,0.0010810114915249312,46.0276320590145,0.48459883486826094,EWA-EWC,rolling_ols,0.0019925876685866345,0.34962248666769347,1.08552140341342
-5.509182603910732,1.9899622027654665e-06,21.283998974247424,0.32855063835413795,EWA-EWC,kalman_basic,0.00024646488715440387,0.4979716928947704,0.5948478209002804
-10.24086601487506,4.753488692776958e-18,6.2113436551652335,0.1839199225263158,EWA-EWC,kalman_momentum,0.001205812269235969,0.4794249107254608,0.6296159634509996
-4.5694915757200425,0.00014696891860460957,42.08451528168058,1.279299343183027,KO-PEP,rolling_ols,0.0009023831158271436,0.18405653049568876,0.5596331271519661
-5.205624907718012,8.562556272079571e-06,32.53645644173569,1.3287349596351121,KO-PEP,kalman_basic,0.00012699292125985422,0.06851620987760895,0.2316676005284649
-10.125190430607324,9.221227440404125e-18,9.147096564684482,0.6898998753591546,KO-PEP,kalman_momentum,0.0006696676981813557,0.10680694248876417,0.2569778992439285
-5.876511998218847,3.150253937657466e-07,25.846703624850964,1.690351208142597,GLD-GDX,rolling_ols,0.005993479616522831,0.01114487446105275,3.4650181304158396
-5.315917100133618,5.074905774540936e-06,24.35682329830879,1.200610671004635,GLD-GDX,kalman_basic,0.0014984347160640872,2.575252688513327,3.343778460344631
-10.506601765707755,1.0503464132102856e-18,6.594193085146416,0.6900255149054233,GLD-GDX,kalman_momentum,0.010814421229098292,2.7222524699443915,4.806344574941403
-5.684499345129887,8.339320447159771e-07,21.976603962850927,2.5352515558593396,V-MA,rolling_ols,0.00119221975995282,0.4656101079801329,1.0114364685605326
-5.101380091429514,1.3929691956547558e-05,27.52372220293175,2.8951703903806414,V-MA,kalman_basic,9.388580779103342e-05,0.4778703544911532,0.5682163365315208
-9.86921195856726,4.0367875586627886e-17,8.09365370534608,1.6420603036346197,V-MA,kalman_momentum,0.0007701395656828099,0.5606193619274621,0.7684545907135026
-4.107287273808426,0.0009420079894560938,50.12372562352086,2.2194339571381216,XOM-CVX,rolling_ols,0.0021872902168209012,-0.029239713906022227,0.8823216561223105
-3.7122852983427066,0.003943631644621697,62.51977642825578,2.069259381793864,XOM-CVX,kalman_basic,0.0003248674521102243,0.4000051176557446,0.6639764142480167
-9.837671163356342,4.846519587200014e-17,9.942955873041361,0.8828247914094163,XOM-CVX,kalman_momentum,0.0013794498943713134,0.2490994290581444,0.7237250289531941
-4.375776938411392,0.00032754403306332815,42.27507250360228,3.892804324542301,HD-LOW,rolling_ols,0.0034458498644135502,1.0636687130705766,2.4221928360511944
-4.022567346774561,0.0012968444567171512,47.95802910561007,4.211925594493635,HD-LOW,kalman_basic,0.00043555907775630543,0.683942287506616,1.3717837952093972
-8.835564759794005,1.7229595659337596e-14,10.558969232004856,1.9337924887462086,HD-LOW,kalman_momentum,0.0029157108985883606,1.083468846277472,1.9126883820574416
-4.324577724536504,0.0004026369420572773,56.796066084919,2.2786114903393018,GS-MS,rolling_ols,0.010589020743711713,2.5381378570415274,6.1761587519425865
-5.006647160308537,2.1530620542194787e-05,40.96564389423613,1.7744757255797592,GS-MS,kalman_basic,0.0012122811186650931,3.7267898197856795,5.190509498524772
-8.583113470359805,7.633439134261961e-14,14.17978439658903,1.0792887687796904,GS-MS,kalman_momentum,0.00760552001091794,3.316012171564903,5.928958046068949
-1.5837293921620152,0.4917614251318537,203.49901230200226,8.846484168972127,AAPL-XOM,rolling_ols,0.010552511034031865,-1.996881015306554,2.0861150359881
-2.3047609223501224,0.1704370767307945,133.11832734426577,7.023000435459477,AAPL-XOM,kalman_basic,0.0018284150861714655,-0.010852003085147593,1.6182776923041473
-9.316093017451873,1.0182474021583808e-15,11.367684904507165,1.8888128678927216,AAPL-XOM,kalman_momentum,0.009806099759676825,-0.03993121866332574,3.984852718673355
