pair,method,signal,period,cost,sharpe,ann_return,ann_vol,total_return,max_drawdown,n_trades,hit_rate,avg_turnover,exposure
EWA-EWC,rolling_ols,threshold_z,book_era_2013_2022,no_cost,0.5532800865854534,0.03126841977650141,0.05877227933164192,0.3598936233251959,-0.09986051072393078,57,0.5005841121495327,0.047044037344293174,0.6804451510333863
EWA-EWC,rolling_ols,threshold_z,book_era_2013_2022,tc_5bps,0.45163577399476973,0.025167992385012772,0.05887483813973134,0.2816783041146489,-0.10181235947452989,57,0.5005841121495327,0.047044037344293174,0.6804451510333863
EWA-EWC,rolling_ols,threshold_z,book_era_2013_2022,tc_10bps,0.35007520388300944,0.01910076018618878,0.05902284468447681,0.207927378339688,-0.10961630583597673,57,0.5005841121495327,0.047044037344293174,0.6804451510333863
EWA-EWC,rolling_ols,threshold_z,oos_2023_2025,no_cost,0.389530209996316,0.018957085322666156,0.05162921038925082,0.0460399053482472,-0.07033916578828298,12,0.4883227176220807,0.04173118630322963,0.7798013245033113
EWA-EWC,rolling_ols,threshold_z,oos_2023_2025,tc_5bps,0.2874831824680476,0.013611767177154288,0.05166565766786291,0.032935740672633385,-0.0723494865936687,12,0.4883227176220807,0.04173118630322963,0.7798013245033113
EWA-EWC,rolling_ols,threshold_z,oos_2023_2025,tc_10bps,0.1854138550333693,0.0082919621409836,0.0517484425030059,0.019989608304710194,-0.07435638967306943,12,0.4883227176220807,0.04173118630322963,0.7798013245033113
EWA-EWC,rolling_ols,threshold_z,full_2013_2025,no_cost,0.5181966041695504,0.028556471129579597,0.05753045776632162,0.4170854206880754,-0.09986051072393078,68,0.4981684981684982,0.04569663972324269,0.7
EWA-EWC,rolling_ols,threshold_z,full_2013_2025,tc_5bps,0.41745878447948614,0.022646476726643883,0.057620805071071736,0.3195057275936597,-0.10181235947452989,68,0.4981684981684982,0.04569663972324269,0.7
EWA-EWC,rolling_ols,threshold_z,full_2013_2025,tc_10bps,0.31678840966828437,0.01676764120821761,0.05775632593291248,0.22860343527860838,-0.10961630583597673,68,0.4981684981684982,0.04569663972324269,0.7
EWA-EWC,rolling_ols,proportional,book_era_2013_2022,no_cost,0.5153319647217652,0.020986958141507195,0.04201742353629722,0.23043525921260577,-0.09372287282548429,1,0.5167364016736402,0.11718012457580004,0.9499205087440381
EWA-EWC,rolling_ols,proportional,book_era_2013_2022,tc_5bps,0.16334959438143165,0.0060173552223961035,0.042168612374214605,0.061728250108759264,-0.11619929393936645,1,0.4786610878661088,0.11718012457580004,0.9499205087440381
EWA-EWC,rolling_ols,proportional,book_era_2013_2022,tc_10bps,-0.18600420517477262,-0.008734737476541188,0.04234565536942657,-0.08386526391160509,-0.1590805952811698,1,0.4497907949790795,0.11718012457580004,0.9499205087440381
